trial,d_period,k_period,long_only,overbought,oversold,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,6.0,7.0,False,85.0,23.0,0.07245523065572002,0.10251487470958012,0.0,0.7477609298581058,0.322233188112201,1.1098732310551482,1.356348417246116,1.5380417658262613,1.2662820768493854,0.42779381204381706,3.566780743574191,-0.2649268041478877,162.6,0.29238588236896257,0.1126413981613356,1.0533508262845366,0.5174100895900071,0.7652555881892985,0.28809523809523807,-0.7652555881892985
1,2.0,19.0,True,72.0,21.0,0.018895852290291032,0.13261631023917933,0.06432996648684547,0.3248676578604806,0.10840814062579651,0.8262188608734903,1.1074175894573455,0.9485582050543251,1.1646870571397274,0.44723544894119893,2.1657012492556333,-0.3517981590935838,185.4,0.30753984968212617,0.15739962768869933,0.8923433803703235,0.5092186598275833,0.4101756336117272,0.48216774675859625,-0.4101756336117272
2,6.0,18.0,True,81.0,13.0,0.0551479553327452,0.034207628181315515,0.0,0.9434287746801819,0.4076283485208657,1.4176755561749217,1.673509674312367,1.6210934061734552,1.445997884099721,0.30035276021909785,3.693405111022691,-0.2550668657527363,152.8,0.25494659950711024,0.090179569000628,0.9659456837029828,0.5206757101355918,0.7167393344966335,0.24920634920634926,-0.7167393344966335
3,5.0,8.0,True,80.0,11.0,0.060789901057878036,0.09905667666572593,0.04848868467973341,0.7604650123801365,0.3392222334327229,1.1940747818067643,1.2728665860039252,1.6292335635200133,1.3922918428607332,0.26372648558258827,3.7023924411720346,-0.26773476378836836,141.8,0.286269819571236,0.08538916674905794,0.8550631712474669,0.5267917416048544,0.6495076156919113,0.2055555555555556,-0.6495076156919113
4,5.0,11.0,False,77.0,17.0,0.033678160790460196,0.037080580709626144,0.0,0.6778983293082672,0.2843264045779458,1.0297684892665406,1.3625526471807388,1.8509351812166455,1.2258021343322723,0.5222679075018067,4.539730998474987,-0.2594603957121372,215.4,0.256717137071209,0.10643723030963717,1.1547184295938262,0.5178741883616986,0.6570993819747786,0.4976190476190476,-0.6570993819747786
5,6.0,12.0,False,81.0,28.0,0.062004615088874865,0.08024292479405667,0.04644096434469937,0.31323189818160363,0.14449752528101756,0.7762175104663662,1.084665857663585,0.9852217792823625,1.1557311785762587,0.5081049255572737,2.1133992052036588,-0.25943478706800427,222.2,0.2695684564115201,0.12320874272840962,0.9185880784347289,0.5122934127813211,0.3939849038315544,0.5246031746031745,-0.3939849038315544
6,3.0,7.0,False,89.0,20.0,0.07150813455854488,0.03521836774401948,0.07987948839600423,0.25084291638053074,0.11220400937325266,0.5602076047066156,0.8210471634916839,0.6548795289785364,1.1157387623182562,0.45885847371015487,1.4416303179332772,-0.27787487948909106,294.6,0.2640155975519095,0.1349292176316992,0.7229564385851712,0.4996023890555237,-0.0889483233195908,0.811904761904762,0.0889483233195908
7,6.0,17.0,True,73.0,17.0,0.06362232524242606,0.12876120404656005,0.0,0.6612701492983317,0.29637875671752195,1.1320464933890988,1.3430880310896338,1.072473931046774,1.2944381324112297,0.35551904393658296,2.3847411312915767,-0.29786509121253596,199.4,0.24348947417561542,0.11774275410500006,0.9139389536397929,0.5087808250243118,0.4798119695128088,0.43412698412698414,-0.4798119695128088
8,4.0,11.0,False,90.0,21.0,0.018515061838871957,0.12142260219947967,0.0,0.6511143365328542,0.2881922363155712,0.9898894754497617,1.2538268017900003,1.1296863949501392,1.2308552180017773,0.4266365683994989,2.568449874774197,-0.270961704864939,220.2,0.28259788428619764,0.1146372388724427,0.9617431385173155,0.5167441124059277,0.4450764718506489,0.5166666666666666,-0.4450764718506489
9,2.0,9.0,True,84.0,23.0,0.06076871369889848,0.0793747442063508,0.05922228674844965,1.3147667939399466,0.5317474700853604,1.7626808059687664,2.422634987125279,2.845857345356142,1.413224643090698,0.48044332757216957,7.113384168410782,-0.22547687452409013,166.8,0.25589896772646265,0.08478340711321272,1.4080963870505878,0.5124874397113129,1.103334482288683,0.3047619047619048,-1.103334482288683
10,6.0,14.0,True,89.0,29.0,0.032441108991184936,0.03015754467136409,0.0,0.29081754849645014,0.13187757949502033,0.5860977117537295,0.6091722000772186,0.5881926120059406,1.1773111701063492,0.2586719954129658,1.263233506309539,-0.29013691070832,257.4,0.2418240707163571,0.14244999801662445,0.5684613334816265,0.48637964389842736,-0.09582438080408762,0.6642857142857141,0.09582438080408762
