trial,cci_lower_band,cci_period,cci_upper_band,long_only,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,-185.0,25.0,160.0,False,0.07187486378308308,0.10061546969796334,0.0,0.13422845177020004,0.042958952464442125,0.2757324996572981,0.7017382412071281,0.5559354370129498,1.073450736139093,0.46362507293864025,1.3742242881421527,-0.2780608386174137,318.4,0.18059605876030987,0.14113527983762478,0.5624993033497261,0.5002989214032325,-0.34384990299948015,0.9063492063492062,0.34384990299948015
1,-95.0,12.0,150.0,True,0.014195533235698037,0.1319209626487465,0.06432996648684547,0.8249536230480651,0.32779450387584574,1.4306267065992762,2.125063428406268,1.9116297157866726,1.3308622492886366,0.5396525770441781,4.8734323714852525,-0.26481288586197615,152.6,0.20505007801515554,0.09358303309649131,1.3326482870380238,0.4900081654916021,1.0842355886253254,0.2484126984126984,-1.0842355886253254
2,-100.0,21.0,100.0,True,0.05323625958911022,0.029575933308568135,0.0,0.4924239785969908,0.21692591774531297,1.039093828536887,1.5359221060017252,1.1078651158852222,1.2237514754933785,0.507616005435686,2.5549629710171855,-0.24959364166998682,140.4,0.21101802900028868,0.09097122133111073,1.053623061473592,0.4892136586092947,0.853623061473592,0.2,-0.853623061473592
3,-175.0,20.0,90.0,True,0.05931220113925328,0.09701894373235498,0.04848868467973341,0.5238247076277469,0.22039464569368533,0.8748398937441388,1.3766765633439644,1.3842454198957594,1.2231814889908317,0.40474429491909963,3.3078952824010677,-0.260897928639646,266.2,0.24160995661777815,0.11257730374605575,0.9704950885192575,0.4932221247335219,0.2712887393129083,0.6992063492063492,-0.2712887393129083
4,-150.0,17.0,120.0,False,0.030114942389726368,0.03256380393801119,0.0,0.10144925630850854,0.038283085395366644,0.35656004051515683,0.7019656471489066,0.7925981375417834,1.0821634718656747,0.47702875692608016,1.803929969896328,-0.2109015386308688,274.8,0.15205374144817538,0.12154524694080268,0.6618461446315405,0.4998917474947822,-0.07148718870179294,0.7333333333333334,0.07148718870179294
5,-145.0,21.0,190.0,False,0.06062035471109602,0.07745264178581894,0.04644096434469937,0.13918660485545203,0.061994280708177626,0.4236513399280515,0.6431536800652264,0.6969090831325461,1.08953414181998,0.49318678663829446,1.4926347252558982,-0.20816493183451432,179.8,0.169584762145089,0.07484195419263473,0.6692256072224919,0.4964487704619687,0.3128764008732855,0.3563492063492064,-0.3128764008732855
6,-180.0,29.0,140.0,False,0.07085491413997141,0.030627102453780256,0.07987948839600423,0.029630297483358724,0.0007168837999882883,0.08070589242786927,0.26765692986461936,0.5559962739226422,1.0282797767008915,0.4530376237361491,1.3073493975774242,-0.24755520464675448,285.8,0.1710143822799,0.1381355643641008,0.27434723351331824,0.497643421587442,-0.5026368934708088,0.776984126984127,0.5026368934708088
7,-110.0,13.0,120.0,True,0.062362504107228066,0.12791165220842246,0.0,0.5279464232644825,0.2320562567797076,1.1281740999687826,1.5639279381917148,1.1131682120289748,1.2376176621461872,0.5169692811939189,2.5516418361375037,-0.26319621913290964,188.2,0.20204286552297343,0.09230314449279424,1.0794473389394803,0.492596517078035,0.6897647992569407,0.38968253968253963,-0.6897647992569407
8,-160.0,30.0,150.0,False,0.01378545121109288,0.12027950628745886,0.0,-0.08002773604842109,-0.05246639342667327,-0.2689318828365498,-0.2659826289609477,0.12857857018765567,0.9624268212188506,0.4440674361872324,0.3552584359224992,-0.2753074569911713,367.0,0.16858368477611774,0.16033372066574267,0.28811908673219555,0.4937190010098969,-0.8110872624741537,1.0992063492063493,0.8110872624741537
9,-170.0,24.0,160.0,True,0.059289383983429145,0.07654973397460482,0.05922228674844965,0.32916639936596626,0.14742217057542667,0.6685501929443639,1.0495217589543095,0.7104356360787332,1.161960778328137,0.4067591552390784,1.5931540087155789,-0.2969880514270762,268.8,0.23984671648393974,0.13048537838802918,0.7689416077121108,0.48742969934955543,0.059417798188301285,0.7095238095238096,-0.059417798188301285
