trial,displacement,kijun_period,long_only,senkou_b_period,stop_loss_pct,take_profit_pct,tenkan_period,trailing_stop_pct,use_cloud_breakouts,use_price_cross,use_tk_cross,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,35.0,30.0,True,61.0,0.04455185068734428,0.12910707579888384,12.0,0.07535706501890463,False,False,True,0.8959523528953464,0.4381917173229347,1.5422948657597118,2.251283752968415,2.064358871703299,1.34585863999881,0.5165734589429011,4.269108261303404,-0.24819437111697457,186.4,0.23401517454893922,0.11000093078413835,1.336278642742417,0.4893559986788067,0.9537389602027344,0.38253968253968257,-0.9537389602027344
1,23.0,27.0,True,67.0,0.04315933119342986,0.11076796775425873,7.0,0.07443721927653739,True,True,False,0.6170608278184989,0.3005547340744921,1.4294512746619366,1.8402312886781491,1.5080634777238693,1.3000001362133706,0.5691288726090503,3.0758050670592594,-0.2575451154091711,195.2,0.1867443369882389,0.1055664164049301,1.2611662443124234,0.49122909302660817,0.843705926852106,0.4174603174603174,-0.843705926852106
2,30.0,31.0,False,65.0,0.06290912476031545,0.07414617305057074,12.0,0.0,True,True,True,0.40461480162375585,0.21744208060460446,1.8846702708391547,2.871188199208034,3.35383608687025,1.4286723392256597,0.5544740951526956,6.1885755674291865,-0.07084372429417993,85.4,0.10667979807201089,0.023236942981881715,1.561645941100669,0.491867706266622,1.561645941100669,0.0,-1.561645941100669
3,24.0,32.0,False,55.0,0.04295666181302077,0.1234014014647542,12.0,0.0,True,True,False,0.4920060948815131,0.24895837819136024,1.8568476861478935,2.692388205583662,2.958210299164623,1.4215411739540715,0.5446572165458676,5.773750111864928,-0.08709589871043281,86.8,0.11708656991980917,0.025769357990511034,1.5148900384476598,0.4916640043048909,1.5148900384476598,0.0,-1.5148900384476598
4,30.0,35.0,False,52.0,0.053526623259814894,0.09115067378710517,9.0,0.0,False,False,True,0.39666121438170754,0.20297762774491207,1.0843745299100715,1.6237141566083781,1.7542967251518014,1.2307137309634004,0.5302815705949422,3.4242005075186617,-0.12444944336880844,148.0,0.1632755968113874,0.048704567326779705,1.1768264615507986,0.49457541842371794,0.9466677313920685,0.23015873015873015,-0.9466677313920685
5,33.0,37.0,False,57.0,0.07626163172063602,0.12508331319998056,11.0,0.0,True,False,False,0.5492226481121625,0.28737989712819123,1.7278773776115806,2.6132227221807676,2.5039525673959857,1.367659733858293,0.5286115101558944,4.744600226247613,-0.11248691197339415,119.2,0.1490686679557174,0.04292922531520555,1.4304538406796212,0.4912708696880032,1.3145808248066053,0.11587301587301588,-1.3145808248066053
6,29.0,29.0,False,45.0,0.07790830954612103,0.10555897323622429,14.0,0.04326987767808623,True,False,False,0.5393177579836486,0.2713371581064935,1.6999556254823773,2.534475931595276,2.4823210583920856,1.3634333140637618,0.5352294615056581,4.925265613201016,-0.11653849162276034,108.8,0.13886227637377593,0.042170081923660896,1.4318123934280793,0.492114465947573,1.3572092188249048,0.07460317460317459,-1.3572092188249048
7,31.0,38.0,True,62.0,0.06950326994698487,0.07258291432298243,10.0,0.06992143091841603,False,True,True,0.7413828065393415,0.36198546228795225,1.482202489568615,1.8660899496977184,1.6323581738050865,1.3175288722453802,0.5657794537878958,3.2983343839211954,-0.25363442462447405,186.8,0.20262008348666466,0.09599711647399245,1.2895418423923317,0.4931504051995418,0.9054148582653476,0.38412698412698415,-0.9054148582653476
8,31.0,28.0,True,51.0,0.053970277873410855,0.14940654231077083,12.0,0.04216311497776736,True,False,True,0.5832828213652836,0.28037708195708994,1.150303012181761,1.435409565318641,1.2580354806310714,1.251507615995957,0.5585260138120309,2.574415937577315,-0.27158142760019877,194.6,0.19515820977538412,0.11152316198465617,1.1238496593794534,0.48830277586462045,0.7087702943000883,0.41507936507936505,-0.7087702943000883
9,28.0,22.0,True,61.0,0.06611079121457016,0.12337206512155174,10.0,0.0,True,True,False,0.555799850304956,0.2714784855687432,1.1926162325028997,1.395262494274151,1.0341535182853643,1.2652598338373808,0.5785203982428275,2.113685970591833,-0.3134859016378046,206.0,0.20396559369794737,0.1254403301667999,1.088102908360169,0.49136807297577667,0.6008136447670995,0.4872892635930695,-0.6008136447670995
