trial,af_step,atr_period,atr_threshold,initial_af,long_only,max_af,stop_loss_pct,take_profit_pct,trailing_stop_pct,use_atr_filter,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,0.0495953519924017,15.0,1.0267993250008036,0.038622338364523986,False,0.2535712795530752,0.06606969598995575,0.13839266254726154,0.06480475990706563,True,0.7176904680424538,0.3100308872366366,1.9631809310514814,3.1359599637912288,2.948533851809143,1.4361383489080886,0.5356926774319933,6.918383885814923,-0.1349761868032552,138.2,0.14088987103181555,0.04885285826438625,1.548384392831073,0.49041928895734593,1.3571145515612317,0.19126984126984123,-1.3571145515612317
1,0.023674905486894555,10.0,1.4194173818877989,0.01315933119342986,False,0.11198723781628012,0.07443721927653739,0.11082491621711366,0.0,False,0.658310788778952,0.2880607439108789,1.6996770720399934,2.508190546710808,2.4875518088912836,1.3771247301151464,0.5418100127790957,5.644676150661727,-0.12560848534477015,133.0,0.1508295463882335,0.040673845596964006,1.4499699978903111,0.4926741798649433,1.2793350772553904,0.17063492063492064,-1.2793350772553904
2,0.036637487952480244,16.0,1.4238044817044058,0.04293728051431608,False,0.1314359401123794,0.06470643405092012,0.057366102545052415,0.0,True,0.6609934958289755,0.2897692337350891,1.3759081892252758,2.03603882152513,1.378075132600951,1.2895613040107807,0.5113004170623017,3.128562891568276,-0.20735019410019354,155.8,0.1942335628748168,0.06923024509213563,1.2013256084237178,0.4815551981736381,0.9402144973126066,0.2611111111111112,-0.9402144973126066
3,0.02009692021980518,16.0,0.9441588174714681,0.03003002439580292,False,0.24089200325500934,0.0636981365330323,0.07122171169933353,0.0,False,0.7439025675922146,0.3253741714662874,2.1626592621788365,3.112059987145272,3.5923691628588506,1.4842679705277984,0.5613216743356089,8.246466092592016,-0.10626351752150953,78.6,0.13381443688018763,0.029291316421341466,1.6489864959352971,0.4975470060024126,1.6489864959352971,0.0,-1.6489864959352971
4,0.016560583851202307,17.0,1.3331011538977593,0.030095171239005417,False,0.16763311629907446,0.053844743905380084,0.07873563198532338,0.04386578582708037,True,0.7142111560051341,0.3082859657644483,1.4068938054752178,2.2677755230881735,1.6457654578634968,1.3034784248158353,0.5157245905977557,3.769223624865326,-0.18456886050302138,152.6,0.19489571112963172,0.06462070124245294,1.2682655276610872,0.4792200139920988,1.0198528292483888,0.2484126984126984,-1.0198528292483888
5,0.012897399443435034,19.0,1.3950278408550556,0.028457359419466075,False,0.28130815860318015,0.06892591697776915,0.09419433983524533,0.04644096434469937,False,0.686113768801718,0.3008437802521679,1.85694005808407,2.674568557788832,2.5026902786818273,1.4076791751131896,0.5482741012932041,5.675227125736596,-0.12468960692993705,128.2,0.14463234317425325,0.038484604089823765,1.4916166618610571,0.4937266717488649,1.3400293602737556,0.15158730158730155,-1.3400293602737556
6,0.03476090245273277,15.0,0.8932510041585346,0.016214226160949988,False,0.20124216274716508,0.07477423665141224,0.058174694195215586,0.07987948839600423,False,0.6711772286861832,0.29542113048077373,1.9686672875865967,2.862421820862102,2.9413013343092396,1.444267423483376,0.5551795315678009,6.667087406847676,-0.11255306553679785,97.0,0.13250852686867998,0.034666465279390116,1.5621338104404456,0.49552326549110476,1.534356032662668,0.027777777777777776,-1.534356032662668
7,0.046513260915859465,14.0,1.309947689524603,0.039503269946984866,True,0.16739594784902165,0.06992143091841603,0.13300896323724803,0.0,True,1.2221956488136576,0.48528845888023414,1.6439341409917616,2.1700833124828423,1.9985847625381843,1.3633847601722315,0.5436971321851475,5.024028412473529,-0.26369194101335813,171.6,0.24896809826097765,0.09607837617749249,1.3820954582341423,0.4896757904354935,1.0582859344246185,0.32380952380952377,-1.0582859344246185
8,0.040447363542565486,14.0,1.392172000610635,0.024060737814876162,False,0.29868120513504626,0.06293843877669861,0.055407787444418405,0.0708552327038335,True,0.7460741638030356,0.3180976987675116,1.5193251795048162,2.1322491397548755,1.7773429747163447,1.3230127892353807,0.523054504816433,4.115565734050444,-0.19763453223100985,158.2,0.17957286801460148,0.06593035598416676,1.3042088715075733,0.4830797193890349,1.0335739508726527,0.2706349206349206,-1.0335739508726527
9,0.030177961203084698,11.0,0.9717958662514754,0.037942316327125414,True,0.2408268113812261,0.05739991814603225,0.09805571687112412,0.0,False,1.1534395432544517,0.4573376366616168,1.873916794348693,2.375121938342672,2.0326210938068394,1.4022418312850267,0.5886570733324714,5.093744140510276,-0.24143166717313808,178.8,0.19876463565036787,0.08500060903411508,1.4796937286811502,0.49697138903830995,1.1273127763001978,0.3523809523809524,-1.1273127763001978
