trial,aroon_down_threshold,aroon_up_threshold,long_only,lookback,signal_smoothing,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,34.0,62.0,False,41.0,4.0,0.07535706501890463,0.11581070979089769,0.0,0.182109492268054,0.08433242312521168,0.8367625951071647,1.0060235900283505,1.1596100529303375,1.2181707411356526,0.5095638630505426,2.4471368417394412,-0.13819949133343717,233.8,0.08630093848696352,0.06884139984177191,0.9610056281642083,0.49238661084698077,0.3903707075292876,0.5706349206349207,-0.3903707075292876
1,20.0,78.0,True,13.0,3.0,0.04239744756325602,0.13748374337220912,0.06432996648684547,0.8602181339118744,0.35738800712115487,1.7906442939260419,1.96831691146945,2.3007577088952975,1.3949528558251547,0.5939209706880609,5.549841513413433,-0.1983619947649436,171.2,0.16996754625466287,0.06418750190718389,1.4698939900652535,0.48949363753320724,1.1476717678430313,0.3222222222222222,-1.1476717678430313
2,38.0,76.0,True,33.0,2.0,0.06470643405092012,0.06662949229054717,0.0,0.9041709865819779,0.3756367934636543,1.988486354137693,2.1809485676114924,2.424362150315702,1.4464339370587207,0.5760755655865895,5.853391424430521,-0.19050708084557072,136.8,0.16223948535264893,0.05669062463810579,1.5105851377316337,0.4899670580021619,1.324870852017348,0.18571428571428575,-1.324870852017348
3,32.0,64.0,True,30.0,1.0,0.06817840065100186,0.11332080719932267,0.04848868467973341,0.9135634609399628,0.3782132576051179,1.9798437966215414,2.164844909691604,2.4590334297276844,1.445727535179331,0.5805256774064169,5.963549054271419,-0.19163279485357898,137.0,0.16360716977367815,0.057374452762969506,1.516822933926473,0.4896961944327704,1.3303149974185364,0.1865079365079365,-1.3303149974185364
4,30.0,68.0,False,24.0,2.0,0.05149425279412936,0.06869801811093082,0.0,0.20532509856376216,0.09616726036511287,0.9631094734180301,1.2353489084385834,1.0400090419949555,1.2455308689756275,0.5322941104444279,2.18744516895021,-0.13474989690760705,259.2,0.09077648192925486,0.06517642203528987,1.0087412394968007,0.49439697422521245,0.33731266806822935,0.6714285714285714,-0.33731266806822935
5,37.0,69.0,False,33.0,5.0,0.06892591697776915,0.0997749058517208,0.04644096434469937,0.19891727491315808,0.0912344118618427,0.8271296107696026,0.9984100238045212,0.8085574079043092,1.2246458118248404,0.5233302931737099,1.7298645199182452,-0.15434080714061688,236.4,0.08910871161833003,0.07251419898975571,0.8885143782819346,0.4926774312949326,0.3075619973295536,0.580952380952381,-0.3075619973295536
6,23.0,63.0,False,48.0,3.0,0.07477423665141224,0.06735722477569402,0.07987948839600423,0.198269508129939,0.09252498112458578,1.0002786482387684,1.169167696148496,1.3550877963082075,1.2617394702133438,0.5083122714316479,2.87445471178202,-0.11909552556422846,249.4,0.08309449076672168,0.05643591938211676,1.052496115167618,0.49367043625558493,0.41995643262793547,0.6325396825396825,-0.41995643262793547
7,35.0,75.0,True,16.0,2.0,0.06992143091841603,0.13470806691352322,0.0,0.8564204416473453,0.35567079784967554,1.8095245574204548,1.9813662382198518,2.30293350517814,1.3993034090523961,0.5922982227924279,5.564216356421012,-0.19872061892285545,171.4,0.16836388756367307,0.0635782535499192,1.4726592776454281,0.4891028125790441,1.1496434046295552,0.32301587301587303,-1.1496434046295552
8,27.0,67.0,False,50.0,3.0,0.04216311497776736,0.12942427358362535,0.0,0.2259053025578682,0.10412542301017949,1.0548413096630855,1.2709662994701476,1.5583951784620693,1.2947999728470965,0.5054504145067815,3.3467470479896115,-0.1312533928874551,257.4,0.08923661716362336,0.06338322575165514,1.105776825682425,0.4937153452265619,0.4414911113967108,0.6642857142857141,-0.4414911113967108
9,22.0,65.0,True,38.0,4.0,0.06816536227624523,0.09914981582857256,0.05922228674844965,0.8787439974361824,0.36661630501074705,1.9860614991665855,2.1459488955010086,2.341602019792717,1.4493798330297971,0.5687682695794185,5.602026132275198,-0.18381065866999863,136.0,0.15927886608278544,0.052882447248256435,1.4913487436369353,0.49025100032355623,1.3088090610972527,0.18253968253968253,-1.3088090610972527
