trial,long_only,overbought,oversold,rsi_period,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,False,66.13796267183608,32.67856397765376,17.0,0.07303559752835692,0.1082130897444305,0.0,0.7338053091800508,0.15779856383221577,0.7239594967120468,0.9291223222931532,0.4229629101455253,1.1527182901388242,0.49663817567783775,1.963592373999335,-0.3525197332270615,262.0,0.20564343842040433,0.1253112928312038,0.7306225713077985,0.5028324130236875,-0.05695657768600704,0.7875791489938055,0.05695657768600704
1,True,73.84881974125427,25.789832798357466,16.0,0.02359617134488403,0.1347023530104778,0.06432996648684547,5.293934437905935,0.6835728616573205,1.8845557890427491,2.277550293497638,2.8338430995497723,1.7472605003385429,0.21933965761846078,19.731754804963987,-0.24755500281412188,116.66666666666667,0.2780805550166402,0.05540787512341796,0.9224073625166143,0.5106968441508752,0.8165872566965084,0.10582010582010584,-0.8165872566965084
2,True,73.23432012857901,30.72728119007886,12.0,0.05705965107638018,0.04810271279955765,0.0,2.6211520572869196,0.44114419676401323,1.4488487771570508,2.029213302025648,1.4221021823056132,1.3549020621618968,0.4239984619339798,7.807994291551736,-0.2943536272049515,173.33333333333334,0.25886328085682614,0.08995935791061689,1.1739792119823886,0.5091865027216534,0.8432913812945579,0.33068783068783075,-0.8432913812945579
3,True,67.05941167816383,30.007506098950728,11.0,0.0622676009765028,0.10516987546583881,0.04848868467973341,2.472119087405272,0.43146368429782284,1.431039898587903,2.0349224801176122,1.346735366176116,1.3462462612231818,0.4280502227220812,7.200801656933467,-0.3090055027390379,205.66666666666666,0.26018916514494433,0.09434548117499152,1.164912336181873,0.508715938088464,0.6879066217090882,0.4770057144727847,-0.6879066217090882
4,False,69.03569541324487,28.381655814953724,14.0,0.03724137919119403,0.05063091102447101,0.0,1.3513033435268509,0.25589666804355893,1.042429786970141,1.4278817247118596,0.8723924715746958,1.2262613482327553,0.49824776127886805,4.504264067277376,-0.33161252579400585,173.33333333333334,0.21700647205307044,0.10967741627051349,1.025563763678737,0.5066835739932142,0.6316508814028945,0.3939128822758425,-0.6316508814028945
5,False,69.61433985486651,30.6308442487801,20.0,0.06338887546665373,0.08861377381876986,0.04644096434469937,2.621733148842375,0.3358952292192294,0.8312328016947292,1.1857984243570217,1.3190783743682333,1.231345007919223,0.47883312097574676,9.094904792031153,-0.42390071277389935,338.3333333333333,0.2858561164690066,0.183205047620969,1.0318261387486984,0.5015524054906649,-0.20142502224883563,1.233251160997534,0.20142502224883563
6,False,66.5535565402375,34.477077386530254,16.0,0.07216135497711836,0.04899216361473714,0.07987948839600423,0.9872460671395072,0.19721331778204307,0.8971352486577634,1.1828417151377055,0.7267985007741437,1.1964643884128436,0.5015556968467404,3.6455985713341934,-0.28421134898870865,189.0,0.19308234424435264,0.10512914450449047,0.9316952872687544,0.5023381323108961,0.5388381444116115,0.39285714285714285,-0.5388381444116115
7,True,72.37581748674621,26.398101591442494,14.0,0.06488214637762404,0.13130985956097285,0.0,4.959684337744107,0.6694572426823623,1.823127832761635,2.3822304248476747,2.1938972317435077,1.62602243477,0.27972209132178755,15.210243443871216,-0.30577544199519396,158.33333333333334,0.2877291418347541,0.07438862408742085,1.0563729727628546,0.5109116835855844,0.7736580676084455,0.28271490515440917,-0.7736580676084455
8,False,68.49256946835271,34.93406025675232,16.0,0.023244672466651038,0.12485188993554208,0.0,0.800052481586142,0.18240424399076546,0.8784655456932083,1.2249238283645745,0.6576783014440664,1.1814029925902083,0.5055469941863758,2.8634964105415395,-0.2952673271144715,168.66666666666666,0.19929126196228386,0.09628339357426902,0.9023972826777015,0.5009092006165896,0.5902279705083893,0.31216931216931215,-0.5902279705083893
9,True,67.45422666073536,31.985579081781353,17.0,0.062248043414367835,0.08784977490158868,0.05922228674844965,2.2162458832456777,0.41660438965157726,1.3733086153729699,1.8286112883530132,1.4082882057903403,1.376361463275476,0.34129035096563926,7.264448487072234,-0.30414585818687856,168.0,0.27361199320943014,0.08475182120696795,1.0381736551614653,0.5155515601784285,0.7203581292638986,0.3178155258975667,-0.7203581292638986
10,True,70.52650321484202,34.51154871771515,21.0,0.036099485222632254,0.0445386393108004,0.0,3.4309267728328265,0.561403831323286,1.6039886255337812,2.334220230525134,1.9107395130672111,1.4697569632060665,0.35880310152637707,11.647567295652372,-0.33079014020363423,245.0,0.29996627720341573,0.10603608168971057,1.1699337935903176,0.5172979740807196,0.493274148103684,0.6766596454866336,-0.493274148103684
11,False,71.18930555177931,34.879131774104465,13.0,0.03846827593393633,0.05153136787511154,0.06432609539640238,0.8382031937122987,0.18252363130318147,0.8655357781624352,1.1321986986469443,0.7071509151547533,1.1849929347900683,0.4986674806914935,3.1841022249986044,-0.3275981630412542,199.33333333333334,0.19172638321115965,0.10616329666612655,0.9068913251224439,0.5032768182464751,0.4178325651775015,0.48905875994494236,-0.4178325651775015
12,True,71.10624639495286,33.08783465021908,12.0,0.056546248945299166,0.12030435603982592,0.0,1.1479911183250004,0.15239391805232202,0.8153812642085141,1.2342546525359026,0.5754738556082053,1.1893433850558994,0.4532023914651608,3.3938974221967975,-0.5106308627841647,381.3333333333333,0.345880292116421,0.2851694489291207,0.8431359158426615,0.5059482574612912,-0.7342104658103241,1.5773463816529856,0.7342104658103241
13,True,70.7249374098154,26.722710046944165,18.0,0.07292598864188674,0.04977370328724212,0.05868594263341625,6.669333645331712,0.7222608536902353,1.8882294175052596,2.200092670537552,2.71465517158316,1.817667412224222,0.20187103807388374,22.60532778852138,-0.2486661888874638,138.0,0.273578657904402,0.054420175317547836,0.8694966046723175,0.5032045038848022,0.679020414196127,0.19047619047619047,-0.679020414196127
14,True,70.91088285208973,27.475248924040642,11.0,0.07843687679878714,0.041880635894251894,0.0762292654253677,3.726805832745215,0.5449779874820228,1.6166136960937543,2.3550994357580155,1.7408642766625224,1.4448606652735043,0.38950372949527146,11.259335203515962,-0.3048428566957205,195.66666666666666,0.2711631034565109,0.08847367153988034,1.2082383071758311,0.5129231621934739,0.7792404244722209,0.4289978827036102,-0.7792404244722209
15,False,66.05562098208114,33.572559557173136,14.0,0.03225705512060973,0.14865109331560386,0.0,0.7404880340214482,0.1498592045991625,0.7349545529698572,0.9106281081607106,0.508591825033672,1.1669955960594078,0.49056024616345556,2.5062691775213337,-0.2790922939222015,230.66666666666666,0.18120448149830679,0.09928589483406187,0.7772653949880238,0.5018518564379745,0.21906433678696569,0.5582010582010581,-0.21906433678696569
16,False,65.09079962534287,28.643150459420216,13.0,0.0470975417508257,0.12986942406347016,0.07256333869789444,0.446218166571625,0.10250947321346442,0.5507786030983673,0.73163113268589,0.3156866901776159,1.1174350303370084,0.47589298703579885,1.3717851661162281,-0.34144428551056943,333.6666666666667,0.18636411382034387,0.13422764961634603,0.595514896605487,0.5022850769399455,-0.4543048913468689,1.0498197879523559,0.4543048913468689
17,True,67.34532195363862,26.531179467190462,12.0,0.0785915182497311,0.07857516226006661,0.04412328264546246,3.906180275587948,0.5779004056369799,1.608092830350196,2.3651008603122765,1.9837310714015575,1.5007251986281058,0.3384628512239334,12.839361011511405,-0.2933747853125372,133.66666666666666,0.29177910707692223,0.07621501217110312,1.1433941705554076,0.5120914325468179,0.9701137472749843,0.17328042328042323,-0.9701137472749843
