trial,long_only,lookback,signal_strength_window,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,False,18.0,30.0,0.09303559752835694,0.11581070979089769,0.0,-0.027548622685667202,-0.027656231743187255,-0.24666361997392255,-0.26716609081355325,0.03086212871801297,0.9677695962265261,0.45997492602257467,0.02878169688311556,-0.11775569804714899,194.4,0.09444650531918417,0.07248669914509735,0.05685548487957113,0.48144503487475826,-0.35743022940614316,0.4142857142857143,0.35743022940614316
1,True,8.0,26.0,0.043596171344884034,0.13748374337220912,0.06432996648684547,0.24697248375386577,0.25185323828505346,1.2696895348589243,1.43575332427694,2.146435278521112,1.2785135584492378,0.558313836788812,2.0983307616515736,-0.19947650915374077,114.2,0.18598567203746735,0.07789446570590466,1.2000441067710834,0.47091211594344207,1.1040123607393373,0.09603174603174604,-1.1040123607393373
2,True,15.0,14.0,0.07705965107638019,0.06662949229054717,0.0,0.25204766314018556,0.2576204487411021,1.389879294433295,1.5867632711946524,2.2311890078231995,1.306916944701117,0.5601731387550054,2.172806191640814,-0.20022440315719764,115.4,0.18321511370550408,0.0830334211077349,1.247803750446588,0.47535267713236384,1.147010099652937,0.10079365079365081,-1.147010099652937
3,True,14.0,12.0,0.0822676009765028,0.11332080719932267,0.04848868467973341,0.2593469723483131,0.2652710146345528,1.447180795214565,1.7329007304708077,2.533503243841401,1.3229383166180295,0.5470986305742807,2.4681354866749774,-0.20152982437336622,100.4,0.18634369244366888,0.07980215361470147,1.289862832640694,0.47727905702888185,1.2485929913708527,0.04126984126984129,-1.2485929913708527
4,False,12.0,20.0,0.05724137919119403,0.06869801811093082,0.0,0.040416298789002346,0.041030899331702876,0.4676080150306749,0.7064500704102723,0.7239345846957298,1.0970035941746539,0.4771289549390598,0.7089470771759923,-0.07147304188872576,130.8,0.10233457694540356,0.03248272255458288,0.641478114455701,0.49281478957339314,0.4795733525509391,0.16190476190476194,-0.4795733525509391
5,False,15.0,38.0,0.08338887546665372,0.0997749058517208,0.04644096434469937,-0.01830789593352038,-0.01857985141783558,-0.07617046706584078,0.03913737924136216,0.12523806194565537,0.9928042414697111,0.4735910041714334,0.12064126346192053,-0.10836417340709767,193.2,0.09565860037903226,0.06616958803345009,0.1112504798037633,0.484411152528894,-0.29827332972004617,0.40952380952380946,0.29827332972004617
6,False,20.0,26.0,0.09216135497711836,0.06735722477569402,0.07987948839600423,0.01106678403077006,0.01051345357876159,-0.07376781999481186,-0.09282188202527142,0.4233428256492183,1.0221460038141186,0.476590741258094,0.42311583134632097,-0.12721098794050478,149.0,0.098606856307665,0.06847688389519782,0.5126797954087648,0.48842918319664247,0.2785528112817807,0.23412698412698413,-0.2785528112817807
7,True,9.0,20.0,0.08488214637762406,0.13470806691352322,0.0,0.24561425094336764,0.2511115450878426,1.3778639319237551,1.5791253643708398,1.6570015404682992,1.2939147532915583,0.5779640852309506,1.615122216406173,-0.21221927156281964,106.8,0.1899190276323668,0.08168772005575828,1.1800034948839597,0.47553026611949106,1.113336828217293,0.06666666666666665,-1.113336828217293
8,False,21.0,28.0,0.04324467246665104,0.12942427358362535,0.0,0.04102939517657922,0.041144001877633674,0.21637429063438063,0.30640658215159416,0.9966871448679591,1.0809958626601843,0.46368864714622926,0.9880293630153283,-0.10486075575812406,159.0,0.09261306597050192,0.05709261365902348,0.46216449446825986,0.4885049928362791,0.18835497065873602,0.27380952380952384,-0.18835497065873602
9,True,17.0,30.0,0.08224804341436784,0.09914981582857256,0.05922228674844965,0.27228841130717074,0.27871467620963547,1.5046036969616072,1.6527760438128287,2.8693228572737874,1.346283488405488,0.5804644624222227,2.791676259805822,-0.18951096632458134,108.0,0.1866854220329662,0.07178761786573637,1.350762535006409,0.4792602196484278,1.2793339635778376,0.07142857142857142,-1.2793339635778376
10,True,20.0,38.0,0.05609948522263225,0.06371343216338214,0.0,0.24721973449423928,0.2524399155068898,1.3769199853759266,1.4993088023809662,2.2734004178961182,1.2989579877741493,0.5625861456211798,2.222618018296528,-0.19509482488462732,106.4,0.18448712369650427,0.07709089680350678,1.242139431081572,0.48263549217515866,1.177060066002207,0.0650793650793651,-1.177060066002207
