trial,data_lookback,long_only,overbought_threshold,oversold_threshold,stop_loss_pct,take_profit_pct,trailing_stop_pct,wr_period,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,300.0,False,-17.844415408869004,-83.86203732816392,0.06607138386592255,0.11517423997488939,0.07535706501890463,26.0,-0.5774975916521328,-0.3798205374235308,-3.208375149281141,-4.37292127640068,-0.6186956555881119,0.564767438738784,0.39353663235879244,-0.9522544996566179,-0.6029496559457639,457.2,0.14689916987722218,0.41183421427536804,0.4638541828432471,0.49159053240935713,-1.5991879861911378,2.063042169034385,1.5991879861911378
1,475.0,False,-24.210167201642534,-79.35911469397125,0.02359617134488403,0.13609304819134346,0.0,16.0,-0.5648205533410454,-0.3626630937245975,-3.1052805822539695,-3.8707337790763803,-0.6180516574613188,0.5585354237203192,0.39524995386378364,-0.9747984586416674,-0.5783120136578276,466.6,0.14191980782947994,0.39907425953159903,0.46291567399769395,0.4912465372239333,-1.588152797762406,2.0510684717600998,1.588152797762406
2,475.0,True,-16.765679871420982,-79.27271880992114,0.029430782033713826,0.1117660851273003,0.0,13.0,0.5811798773109718,0.2599031103124577,1.2788963416428185,1.706127688084478,1.8718840292052537,1.2669515132878817,0.5491277119311743,4.241433068492311,-0.19793001961888543,178.2,0.19256592526451438,0.06968155567132601,1.2635825953434017,0.4907931508791766,0.9135825953434017,0.35,-0.9135825953434017
3,250.0,True,-19.992493901049272,-84.2608345467448,0.0622676009765028,0.10924534133258074,0.0,18.0,0.5966064588725877,0.2655979533842947,1.1905171325458983,1.6267788760443171,1.8809533087122539,1.242500132642148,0.5414775500534785,4.31982574667649,-0.20694116975343232,175.4,0.20420814596894798,0.07551742321775047,1.2321729080403623,0.4935538927842035,0.8932840191514734,0.3388888888888889,-0.8932840191514734
4,425.0,True,-19.976207190248644,-80.96430458675513,0.04028993488972234,0.0846118597634502,0.05149425279412936,20.0,0.618946489479911,0.2795095212037874,1.3254305444841403,1.824316654916413,2.036136147363012,1.273788825643959,0.5572571717380267,4.573629266638037,-0.21033213029266423,181.8,0.19694707373729864,0.08718054522878123,1.3066326157904338,0.49455757102929016,0.9423469015047194,0.3642857142857143,-0.9423469015047194
5,350.0,True,-19.3691557512199,-75.93459206984099,0.06338887546665373,0.09419433983524533,0.0,25.0,0.5458573541048173,0.2508580150966606,1.2546328128898374,1.7345858281248774,2.0166240748132487,1.2539663063511992,0.5406983918922358,4.427555558476039,-0.1870056372547747,183.0,0.19399546292139272,0.07149325395360959,1.265230621449023,0.49176793795220625,0.8961830024014039,0.36904761904761907,-0.8961830024014039
6,250.0,False,-15.522922613469742,-79.93789186264175,0.07216135497711836,0.058174694195215586,0.0,24.0,-0.546285692339711,-0.3545004286773318,-2.982982867305335,-4.071207502962903,-0.6044999006017077,0.5904382145862554,0.40925982560483093,-0.9452880442986731,-0.5734822245125459,461.4,0.14399920306791902,0.39255291430346473,0.4834312582743687,0.4921315763657857,-1.537342714560247,2.0207739728346157,1.537342714560247
7,300.0,False,-17.715033006791387,-77.62418251325379,0.02838860954865496,0.08369797392451082,0.06992143091841603,11.0,-0.5253712532922894,-0.3300365346594919,-2.96654819491173,-3.805430651898572,-0.6005699279627301,0.5825521544216121,0.39744532613749567,-0.9701523724301186,-0.5389025223246814,463.6,0.1322887557341114,0.3738993915374633,0.47251678825562793,0.4892284382215829,-1.4878279389334175,1.9603447271890455,1.4878279389334175
8,300.0,False,-21.507430531647287,-75.06593974324768,0.05440765816504792,0.055407787444418405,0.0,24.0,-0.5242317224209081,-0.3387052254934339,-2.9040371298754613,-3.872150822186464,-0.5905989942336519,0.5923668285971634,0.3850765452935402,-0.929564817356044,-0.5554872308005598,459.6,0.14021477600664328,0.3760089490251798,0.4667412517099797,0.49142758738244596,-1.5108998765578066,1.9776411282677864,1.5108998765578066
9,275.0,True,-18.014420918218647,-78.47230219635746,0.062248043414367835,0.09349979536508063,0.0,17.0,0.5349208236896091,0.24778324060210705,1.2335191917617405,1.6132927379031892,1.7186711873979479,1.2471661416190791,0.5512303261324165,3.7495200341299495,-0.1984574268024454,168.0,0.19509826731583763,0.07997581582066758,1.2257340140963384,0.49492299455946737,0.9162102045725289,0.30952380952380953,-0.9162102045725289
