trial,long_only,long_period,short_period,signal_period,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,False,18.0,17.0,15.0,0.09303559752835694,0.11581070979089769,0.0,0.6539212981298952,0.2856925828316894,1.6240750050822796,2.264831793409074,2.5788426205486887,1.3542727655983773,0.5457865152509396,5.81617288856104,-0.10730945730283992,114.4,0.15493031826722417,0.03753525033519586,1.4328029289314066,0.4939269431877472,1.3359775321060097,0.09682539682539684,-1.3359775321060097
1,True,42.0,6.0,13.0,0.043596171344884034,0.13748374337220912,0.06432996648684547,0.9562149872142275,0.3832631212235511,1.3100459133667737,1.507960739743864,1.1221544527346208,1.3063726215793396,0.5566251982038832,2.739982830571147,-0.3421653205170144,205.2,0.2599631336880489,0.12913753673448564,1.1440322542420507,0.4965460245181201,0.6025587560651647,0.541473498176886,-0.6025587560651647
2,True,40.0,14.0,7.0,0.07705965107638019,0.06662949229054717,0.0,1.16932257243269,0.4610175770257408,1.514648356170292,1.8322085726804072,1.678493815661921,1.3705376914046086,0.5435872728616218,4.174746457492761,-0.2946845914213593,180.2,0.24791005176565228,0.10549649907756968,1.3013524476631657,0.4958478554206929,0.9434159397266578,0.3579365079365079,-0.9434159397266578
3,True,21.0,13.0,6.0,0.0822676009765028,0.11332080719932267,0.04848868467973341,1.340105578886125,0.5182449136053995,1.780411934344744,2.3065060422502515,2.071573885265954,1.4220038496837621,0.5757127297398005,5.319830046271692,-0.2743816406320934,158.2,0.23565458467154374,0.09720175379629711,1.461228125685412,0.49384469755826244,1.1905932050504915,0.2706349206349206,-1.1905932050504915
4,False,27.0,10.0,10.0,0.05724137919119403,0.06869801811093082,0.0,0.6470661923884432,0.2863410983278068,1.7773598612742763,2.499894517813478,2.383812837178772,1.4028684546830479,0.5446434499648436,5.38031652166328,-0.12502841273341483,148.8,0.14429081045545566,0.03915589746908769,1.4574084700157701,0.4931724636747427,1.2240751366824367,0.23333333333333336,-1.2240751366824367
5,False,29.0,13.0,19.0,0.08338887546665372,0.0997749058517208,0.04644096434469937,0.5330420213243517,0.24111056323637897,1.3621924293552639,1.8932105241936334,1.8802497039767196,1.299560558925093,0.5381351816481875,4.155311479065443,-0.15080257107108494,185.0,0.1679583835397304,0.059661929328335805,1.28684282855738,0.48864613433591303,0.9098587015732531,0.376984126984127,-0.9098587015732531
6,False,20.0,19.0,13.0,0.09216135497711836,0.06735722477569402,0.07987948839600423,0.577197671770765,0.2597282524570882,1.5416799830471999,2.218446530963479,2.3513099050912247,1.3289290466534442,0.5384810874915431,5.185002321606744,-0.11283719174457799,100.4,0.15471100563459608,0.03895188535320259,1.3866007475697246,0.4931338992182367,1.3453309062998833,0.04126984126984129,-1.3453309062998833
7,True,37.0,7.0,10.0,0.08488214637762406,0.13470806691352322,0.0,1.076147543969089,0.42537875251673096,1.552675618918332,2.032887113373362,1.8654519910027456,1.3496949372215483,0.556218644024043,4.742909295693177,-0.27819569182276516,161.2,0.230701185934286,0.09477464043362163,1.3569664892170215,0.4939408534316371,1.074426806677339,0.2825396825396825,-1.074426806677339
8,False,25.0,20.0,14.0,0.04324467246665104,0.12942427358362535,0.0,0.4692277463236902,0.21454442056566822,1.2285693951330194,1.6924380657197855,1.6121242992735865,1.2620536688069115,0.5251097169757355,3.5046292927032674,-0.13803505363360472,212.4,0.16577647369124307,0.06330057315097035,1.1982797240422864,0.48808767045085066,0.7125654383280007,0.4857142857142857,-0.7125654383280007
9,True,22.0,15.0,15.0,0.08224804341436784,0.09914981582857256,0.05922228674844965,1.3046731891652823,0.5099469256588897,1.7156586570754637,2.2588025373328926,2.0733496618025704,1.397803518044198,0.5416700735260918,5.249641803785243,-0.27568738534823706,124.2,0.23848263476255033,0.10611884426968199,1.4084739016739676,0.4990895841275374,1.272759615959682,0.13571428571428573,-1.272759615959682
10,True,32.0,19.0,19.0,0.05609948522263225,0.06371343216338214,0.0,0.5936766801804705,0.2255055738858621,0.8088265453729482,0.9887022149193665,0.6432704955221423,1.1847849209924257,0.49813604062825084,1.6310182299752296,-0.35740687943468596,249.8,0.26763921802603363,0.15855996910593587,0.8256530837198048,0.49438878853141005,0.07671234072344868,0.7489407429963562,-0.07671234072344868
11,False,34.0,20.0,9.0,0.05846827593393633,0.06943475553418217,0.06432609539640238,0.4720796094435403,0.21424396929593645,1.2686945262027245,1.774196096802989,1.6021199259286216,1.2701556371913054,0.5242867779774305,3.501803420837983,-0.14876479116063385,174.0,0.1548856328832227,0.05156146325271177,1.21059374359603,0.48791238116654884,0.8772604102626966,0.3333333333333333,-0.8772604102626966
12,True,33.0,17.0,8.0,0.07654624894529916,0.12570356403258487,0.0,1.253047108733404,0.502152733610042,1.7856180984906207,2.4586025670672984,2.279133889068832,1.4119729092871427,0.5533735053964535,5.645927109302159,-0.25248141650722056,147.2,0.23658281286739116,0.09463123210452261,1.464138174642735,0.4961954753833743,1.2371540476586083,0.22698412698412693,-1.2371540476586083
13,True,32.0,8.0,16.0,0.09292598864188675,0.06799666632592537,0.05868594263341625,1.1876859373172426,0.474797958739644,1.661464312020304,1.9908675842225065,1.8241237802241528,1.3822408664832921,0.5452723210919148,4.480639648094329,-0.27846670190183365,146.6,0.23751549752531464,0.1005752537252235,1.3534937597304804,0.4959578030313045,1.128890585127306,0.22460317460317458,-1.128890585127306
14,True,33.0,9.0,7.0,0.09843687679878714,0.061538702095297,0.0762292654253677,1.0082463425222994,0.4058397996776037,1.5083261440463536,1.9523908335902433,1.6187476441763464,1.3362398611314403,0.5598723855775352,3.934445239573159,-0.2778183706427577,160.4,0.22237134792991733,0.10232716039523108,1.3095873092262005,0.49290453125599587,1.030222229861121,0.27936507936507937,-1.030222229861121
15,False,18.0,18.0,10.0,0.052257055120609734,0.14889634907640317,0.0,0.5420936443988096,0.24340154473512401,1.4508774450323978,2.0374595866172713,1.907657611750374,1.3225707514818825,0.5401634400252256,4.207311071769981,-0.13142065324497706,146.0,0.154707069215592,0.04225245987226981,1.3188770640784353,0.49124440037328904,1.0966548418562132,0.2222222222222222,-1.0966548418562132
16,False,15.0,10.0,10.0,0.0670975417508257,0.13352952877920285,0.07256333869789444,0.6504776825373348,0.2900362876081477,1.9881654073417672,2.774602419247105,3.0039014588216832,1.4425889997928185,0.5621332331290619,6.7001600484931885,-0.09489937704021767,89.4,0.13169731699002235,0.02668782371817647,1.5716373297477335,0.4935823790226369,1.5716373297477335,0.0,-1.5716373297477335
17,True,22.0,7.0,7.0,0.09859151824973111,0.09156149639459996,0.04412328264546246,1.105338244192528,0.42614212288380476,1.5123371775249932,1.8789970133529519,1.912930152190178,1.3780624014111869,0.5805789083936809,5.000304278000116,-0.32126225036116696,186.8,0.23839549304927088,0.11255307911338516,1.3748071723095847,0.4970348223119851,0.9481556874602666,0.4266514848493181,-0.9481556874602666
18,True,36.0,15.0,10.0,0.06502976129112242,0.07152692063337346,0.0739941970555948,1.1790858765960834,0.48145406696296006,1.6805173034652738,2.161980775899803,2.1072626756024095,1.3949045024113669,0.5514232481823859,5.123810860761742,-0.27972796355126833,159.4,0.2630679735991377,0.11215129419247416,1.4092134804925631,0.497209469927132,1.1338166550957376,0.2753968253968254,-1.1338166550957376
19,True,31.0,9.0,8.0,0.09855999386433502,0.12417400693629849,0.0,1.2639108393372633,0.4933493870570067,1.7615787205327738,2.300848650684975,2.3123514463726176,1.4014643644300895,0.5696193054127162,5.829496161285699,-0.24002301224031752,124.8,0.22465361365855235,0.08649247497809145,1.4722501712709815,0.4954194303894631,1.3341549331757434,0.13809523809523808,-1.3341549331757434
20,False,16.0,11.0,17.0,0.06881853084682085,0.08126491422426849,0.07925835719572742,0.6050606324017715,0.2679988039674332,1.626531878597044,2.3120689481414436,2.3661563060881963,1.3575491234059611,0.5478677502145017,5.341455916988967,-0.12511032873168024,107.2,0.14596767379642644,0.03635441336649663,1.4221248270026268,0.4912126406595417,1.3538708587486585,0.06825396825396826,-1.3538708587486585
21,False,15.0,11.0,17.0,0.0673955653500829,0.08624419941717433,0.07369062623421767,0.6149431075878028,0.27146676856783486,1.6791822518583168,2.334033791186821,2.7644723793210835,1.3677567489505171,0.5604402220390756,6.305949319248661,-0.12340447778140547,111.6,0.14302335824038362,0.035532357869529727,1.477934568558513,0.4926363167823594,1.3922202828442274,0.08571428571428569,-1.3922202828442274
