trial,long_only,long_period,short_period,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,False,50.0,11.0,0.09071413003780925,0.1120118997676641,0.08509243261122303,0.4771390479789132,0.13115562134223957,0.7346584509001309,1.210346140340352,0.5853646138601571,1.1526737018637585,0.5167493020863755,2.124188521052765,-0.23602226872587914,405.6666666666667,0.18714994205181598,0.10928138599995778,0.8369118053584849,0.4922834341301803,-0.4157336972870179,1.2526455026455028,0.4157336972870179
1,False,42.0,4.0,0.08887443855307478,0.11082491621711366,0.044033708383240666,0.5968250596219337,0.1583436515844996,0.9037462108950395,1.32282914328236,0.8258677009408539,1.1983723265668302,0.5050976585757793,3.0915297096121255,-0.19541948907187476,447.0,0.17289906356914683,0.09260851840392513,0.9660197145354564,0.48998019695685113,-0.4506469521312103,1.4166666666666667,0.4506469521312103
2,False,42.0,5.0,0.06941286810184025,0.057366102545052415,0.031757022982802224,0.1969917306276275,0.04707027045414217,0.3989366075312673,0.6399989831625595,0.5248665210300623,1.081758386217324,0.48842687575081944,2.053247725842943,-0.31337443639648793,582.0,0.18309207850911555,0.19912591056368198,0.6360476018186391,0.4919256414458411,-1.3430822233552893,1.9791298251739282,1.3430822233552893
3,False,22.0,11.0,0.0673962730660646,0.07122171169933353,0.05230221362095834,0.22135785984413972,0.05930259816475184,0.4213308689845478,0.5688084747274789,0.32183064012188983,1.0864067721608726,0.5149366024851433,1.2004957497578432,-0.2069211292841164,460.3333333333333,0.1465038415023444,0.09792286594007622,0.548739081118568,0.4895507554932564,-0.9208376384581516,1.4695767195767195,0.9208376384581516
4,False,34.0,7.0,0.04298850558825871,0.059664464567700914,0.060232300372918546,0.5005421424173544,0.13602440723035078,0.8365201232024656,1.2506954514387332,0.9473744287597136,1.169836444785697,0.5206913586633444,3.511413965842518,-0.15464873628127676,293.0,0.163182650410895,0.07807358985221213,0.9818903489041857,0.4950182461305948,0.17633479334863011,0.8055555555555556,-0.17633479334863011
5,False,56.0,12.0,0.05535547186819627,0.06610241086174842,0.08037818882118312,0.126246777555842,0.035738454058861745,0.2655954066337814,0.37394051166476555,0.16144955083466425,1.0531641843279875,0.5043458701468841,0.5552718490203651,-0.31147156628888983,469.0,0.19440497372640275,0.1715738021987112,0.3454939851954421,0.4925254854657443,-1.1814174013505914,1.5269113865460335,1.1814174013505914
6,False,40.0,13.0,0.026539755356172465,0.14969872099001055,0.07592628757932066,0.31928911124070386,0.07789460230709748,0.4603771814524322,0.8269566738113282,0.5610364302336462,1.1000160599263025,0.5126949304215329,2.135341523247669,-0.2935090741921724,417.6666666666667,0.18287355494842217,0.17873756399321147,0.7065752065705359,0.48776069039148157,-0.5936893436940144,1.3002645502645502,0.5936893436940144
7,False,26.0,7.0,0.07984286183683206,0.13300896323724803,0.025142949064763942,0.4205837293336123,0.11249809107798507,0.7284880049998493,1.0732833428394744,0.6557602282022693,1.149696376416523,0.51671194351433,2.4576623534123794,-0.17263660215453794,219.33333333333334,0.15822351571029436,0.07180799990399045,0.8521064107868807,0.4908985644574177,0.3388788975593674,0.5132275132275133,-0.3388788975593674
8,False,60.0,10.0,0.02432622995553472,0.12713808175958374,0.07786387229394885,0.5232940806644323,0.14314389607693165,0.7788333667847497,1.3146117078796118,0.7109506825169764,1.1636272853546068,0.48461352540088326,2.6069481886058865,-0.24890952283620446,430.3333333333333,0.19867107614686805,0.11859940676813191,0.8878771193645246,0.4877994517450293,-0.46265198116457584,1.3505291005291005,0.46265198116457584
9,False,46.0,11.0,0.0547998362920645,0.09805571687112412,0.04600259141883796,0.3418283891447857,0.09790994386979464,0.5922830731800296,0.8913400152650824,0.49008629988972247,1.1180734342291234,0.5033631098320769,1.7191071672456566,-0.23813054150396687,482.6666666666667,0.183959753339222,0.13601412301141144,0.7217198129697754,0.48982665746383347,-0.836481245231283,1.5582010582010584,0.836481245231283
