trial,fast,long_only,slow,smooth,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,9.0,False,43.0,12.0,0.07187486378308308,0.10061546969796334,0.0,0.6591643615928149,0.28798760180265,1.6504572983656733,2.4434401654030746,2.3893272625948683,1.3993281189097988,0.5502495058440671,5.381189847248729,-0.11661293779627627,138.0,0.15882610757227522,0.037504250167447496,1.4452613955404394,0.49155069450089794,1.254785205064249,0.19047619047619047,-1.254785205064249
1,19.0,True,23.0,11.0,0.014195533235698037,0.1319209626487465,0.056494949730268196,1.5179330662289021,0.5401093013059869,1.6374301078192448,2.2064521553969665,2.0373673638024363,1.3874612094775125,0.5517405733424728,5.63705604771255,-0.2636039094844117,167.4,0.24642516901687092,0.10612920540393148,1.4066863063503396,0.4967635634851698,1.0995434492074825,0.30714285714285716,-1.0995434492074825
2,18.0,True,38.0,7.0,0.05323625958911022,0.029575933308568135,0.0,1.5535411838822093,0.5499784168061097,1.5839809241319938,2.185731479901277,2.789835607116396,1.402735127891415,0.5591098356179558,8.010213316298454,-0.21556804498935592,127.8,0.2547707421690222,0.08273117212370015,1.4729100700875923,0.495840988319115,1.3229100700875924,0.15,-1.3229100700875924
3,10.0,True,36.0,6.0,0.05931220113925328,0.09701894373235498,0.03273302701960011,1.6028153695396665,0.5505604096227467,1.5870749377004054,2.1615156325345746,2.8329204614634085,1.4219029799127392,0.5748235633805001,8.331549169225124,-0.23548283738056042,176.4,0.24194133960067354,0.09598657468988711,1.4967469222369405,0.495282330323416,1.1538897793797975,0.34285714285714286,-1.1538897793797975
4,13.0,False,31.0,8.0,0.030114942389726368,0.03256380393801119,0.0,0.6403817141535726,0.2834538863833418,1.7285424785712213,2.483009757183958,2.4128971938526456,1.3899730109198605,0.542522090044548,5.342953987299509,-0.12243020985090029,128.0,0.14770712269841862,0.03614474783504305,1.4473377496475646,0.4917191389192858,1.2965440988539139,0.15079365079365079,-1.2965440988539139
5,14.0,False,37.0,14.0,0.06062035471109602,0.07745264178581894,0.02966144651704905,0.4850783370624847,0.21892485480704477,1.379697895242645,2.0119887249492403,1.6998631523583927,1.2895630491237695,0.5393994669101836,3.7533116078391693,-0.14841872027837438,191.0,0.14739632543003267,0.06661050223745654,1.2749949181227924,0.49052366868311265,0.8742012673291416,0.4007936507936508,-0.8742012673291416
6,10.0,False,48.0,10.0,0.07085491413997141,0.030627102453780256,0.07981923259400633,0.7092293601015234,0.3072836275837656,1.7637931822008959,2.7155652006445794,2.761300304190353,1.4284407897130853,0.5518858598727805,6.289492638460652,-0.10766581793808179,148.2,0.15705170510378327,0.037289118313392364,1.5119505272240534,0.4925174506719112,1.2809981462716724,0.2309523809523809,-1.2809981462716724
7,17.0,True,25.0,8.0,0.062362504107228066,0.12791165220842246,0.0,1.3901120474594948,0.4798378242984448,1.306355743922311,1.8390406189725936,2.2732090079636302,1.3451248595279643,0.5537516269789473,6.609708662688455,-0.26673081206000304,188.0,0.26634227963154633,0.10049962616075918,1.348393818374752,0.4898215333409655,0.9595049294858631,0.3888888888888889,-0.9595049294858631
8,12.0,False,50.0,11.0,0.01378545121109288,0.12027950628745886,0.0,0.5260403523692502,0.23890977686885773,1.5493822299651103,2.133060025068385,2.1024598641934924,1.3301796821814682,0.5519544703140642,4.620187071766507,-0.12900662586739403,167.0,0.14416962729897875,0.046001243125563404,1.3730526491180028,0.4894948338861195,1.0674970935624473,0.3055555555555556,-1.0674970935624473
9,11.0,True,41.0,12.0,0.059289383983429145,0.07654973397460482,0.04883343012267447,1.057523066321369,0.42425403605402423,1.5416197536191374,1.872172497805451,1.7331580259923656,1.3355366830936162,0.5583484277892093,4.297930537300986,-0.24011171797375272,149.4,0.2295350022294551,0.09010937861573406,1.3238551864780939,0.494074436813562,1.088140900763808,0.23571428571428574,-1.088140900763808
10,15.0,True,49.0,15.0,0.028782732759737632,0.025363846458218653,0.0,1.1031476615440838,0.4094865077853475,1.2558278710911275,1.5672606118669958,1.354601246893877,1.2949116507855982,0.5444648203705291,3.5897565910806635,-0.3150025595241604,253.8,0.2526901659872065,0.12311833955344105,1.1857571807347276,0.49873779405024204,0.5057520616864067,0.6800051190483208,-0.5057520616864067
11,15.0,False,50.0,8.0,0.03154632192292572,0.033627980216040916,0.05648914309460357,0.566645237742861,0.25525005637738496,1.6455844870790357,2.2792654881269128,2.4791757743324685,1.3509351027455345,0.5417858335671604,5.483015176895523,-0.11302936996741211,143.8,0.14287429695451428,0.038879921609368824,1.4224273199685646,0.4905644836489668,1.208935256476501,0.21349206349206354,-1.208935256476501
12,15.0,True,44.0,7.0,0.05263729043618236,0.11490514804706702,0.0,1.503452595624593,0.5364173833647972,1.577178702694886,2.0442938118784326,2.3669357006737193,1.3961802845112485,0.5590489545100992,6.618267824181379,-0.23521074579833617,176.8,0.2523101949203586,0.09486250665935417,1.4279641513691896,0.49673713529330454,1.083519706924745,0.3444444444444445,-1.083519706924745
13,15.0,True,26.0,13.0,0.07174698674886787,0.03155074024855887,0.048028913950124374,1.4050189603302208,0.5219970020332415,1.5906802827123756,2.1194880550398465,1.921025816872778,1.384002479083592,0.5444637790004195,5.121554335320458,-0.2745660996199309,144.6,0.2615954715197618,0.10388550935535648,1.3712737802025123,0.4944567950892781,1.1546071135358458,0.21666666666666665,-1.1546071135358458
14,15.0,True,28.0,6.0,0.07817635626525166,0.022222569693206785,0.07434389813805155,1.4668514098914867,0.5249713670716527,1.5289358200397531,2.107726556920888,2.0902772387127695,1.4094836798665273,0.5611117853909049,5.769448212270722,-0.27538562084780505,174.0,0.26845566832567713,0.09799788528120988,1.404533009907279,0.49442686454278945,1.0711996765739458,0.3333333333333333,-1.0711996765739458
15,9.0,False,46.0,8.0,0.024299897640711356,0.14840583755480458,0.0,0.6877671513213458,0.3039290269318315,1.8850931978442667,2.7130100288152064,2.661139042194649,1.4482973441855358,0.5583680082003859,5.998333253704807,-0.1387377802086624,147.6,0.15065293938366256,0.04265817790124769,1.5294560017923273,0.4931927693927616,1.3008845732208987,0.22857142857142854,-1.3008845732208987
16,8.0,False,32.0,8.0,0.04161379870929666,0.12620931934773746,0.06884500804684167,0.678329872155419,0.2978109607884213,1.894597207860139,2.613691502546261,2.8003638730521287,1.4399961182470276,0.5587796675863491,6.272881536278136,-0.11209906992258716,99.4,0.1392313303090274,0.029611204639622545,1.5341381849698197,0.4936478287513787,1.4968365976682323,0.03730158730158732,-1.4968365976682323
17,11.0,True,25.0,6.0,0.07835677129135295,0.06558882812553328,0.026184923968193694,1.5353534879531463,0.5352587751787109,1.6410387045621888,2.01958205039171,2.5223239858968594,1.4055381873027113,0.5796845088105392,7.0728990363986055,-0.2371571466215805,169.0,0.22371715763985112,0.09778907898429344,1.4709797217529774,0.4932359725285414,1.157487658260914,0.3134920634920635,-1.157487658260914
18,16.0,True,40.0,8.0,0.03920138817297616,0.03664999647042834,0.0709912955833922,1.1505729727851068,0.44306724560515925,1.490280554957965,1.8762976285501811,1.955475061449956,1.336872282549478,0.5542446792008712,5.0685034095593124,-0.22466196826144813,157.0,0.2358140887780728,0.08847460597810346,1.3438052921360666,0.49607103230861266,1.0779322762630508,0.26587301587301587,-1.0779322762630508
