trial,atr_period,atr_threshold,entry_lookback,exit_lookback,long_only,lookback_period,stop_loss_pct,take_profit_pct,trailing_stop_pct,use_atr_filter,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,21.0,1.2262773587577365,30.0,23.0,False,50.0,0.06606969598995575,0.13955339629253538,0.06480475990706563,True,1.3291483485213902,0.5377507049915402,1.5459909967126646,2.5514861969282228,3.6870976424411586,1.3683643424280234,0.507862701125521,8.980115402214846,-0.22402431685057778,145.8,0.2733996014672225,0.10126511945117486,1.4558966873512185,0.4858319490763394,1.234468115922647,0.22142857142857147,-1.234468115922647
1,12.0,0.5082320498822429,55.0,7.0,False,18.0,0.07443721927653739,0.11474242459540229,0.0,False,4.725833470871881,1.4756942524640135,2.9193601545022316,4.570213734518288,10.020351938292048,1.7544017664703593,0.5622725257091438,31.97668203718748,-0.1520330041775332,71.6,0.276961653574736,0.05107798923656574,1.9730932509839303,0.4980808084133653,1.9730932509839303,0.0,-1.9730932509839303
2,16.0,1.288540120498732,55.0,26.0,False,22.0,0.06470643405092012,0.06662949229054717,0.0,True,2.3600768031171677,0.9253496492415534,2.0152224284881344,3.5771380825361057,5.577351622642047,1.5028197994905814,0.49077677905365197,14.619922918672287,-0.19880714344279388,119.8,0.3222091605442188,0.07404661674041978,1.6101008718656293,0.48484080491977927,1.491846903611661,0.11825396825396824,-1.491846903611661
3,11.0,1.3752974036702572,24.0,18.0,False,47.0,0.0636981365330323,0.07909954052940017,0.0,False,1.319058334976709,0.5342920503160775,1.702714420666983,2.6400813447789035,2.6774457735878388,1.3676686210487088,0.5393132375423744,6.722672581898363,-0.22255792212648542,146.2,0.2508626909094501,0.08691895624937611,1.47286407008484,0.4879327019465327,1.2498481970689672,0.22301587301587297,-1.2498481970689672
4,9.0,1.5174773284219985,49.0,18.0,False,30.0,0.053844743905380084,0.08586206878679103,0.04386578582708037,True,2.767051928002671,0.9961519320009262,2.233662246103158,3.751692354198544,5.8706229104404795,1.5517975672395379,0.517422715317545,16.02072506187243,-0.1810052011714179,117.8,0.2948386328440292,0.07467949119475725,1.7025767603527522,0.49666392837291556,1.5922593000352918,0.1103174603174603,-1.5922593000352918
5,8.0,1.7859741658100265,53.0,17.0,False,56.0,0.06892591697776915,0.0997749058517208,0.04644096434469937,False,2.946654210271054,1.0820638358919723,2.317679470146502,3.9769836820824636,7.597915481565093,1.5846754480512817,0.5303072521614066,20.88628697317113,-0.18207227631941442,114.6,0.307821174937918,0.07935512517667712,1.7755946862441436,0.4980895679395257,1.6779756386250961,0.09761904761904759,-1.6779756386250961
6,16.0,1.14738620205556,21.0,9.0,False,38.0,0.07477423665141224,0.06735722477569402,0.07987948839600423,False,1.871219826015767,0.6854677355903604,2.201370168442838,3.3326667325917945,4.9038462025464105,1.5032222352739726,0.5659455622201551,14.09354306588063,-0.17615404563309447,105.6,0.22348811941621877,0.06459461381077305,1.7334073673169108,0.4941638194029346,1.671502605412149,0.06190476190476188,-1.671502605412149
7,20.0,1.000977720759851,48.0,23.0,True,30.0,0.06992143091841603,0.13470806691352322,0.0,True,2.3462247428216907,0.8756838795421082,1.9062908888717494,2.8930345115742595,3.8248749691580373,1.5106085498226047,0.40522527699561434,10.264779284227043,-0.23093741513274796,98.6,0.324110736152344,0.08002833891740505,1.3765093241325805,0.49497087673748313,1.3423823400055965,0.0341269841269841,-1.3423823400055965
8,18.0,1.0689311020430137,53.0,14.0,False,60.0,0.06293843877669861,0.06486700869997655,0.0708552327038335,True,3.5021874620724427,1.2062106300702236,2.44264495188085,4.110751960571865,8.186243229765022,1.6285209782066716,0.5357411776474776,24.200535126533318,-0.18535881075093175,121.4,0.30849911209256226,0.07634523580158882,1.819967915691039,0.5011800092712911,1.6953647410878645,0.12460317460317463,-1.6953647410878645
9,14.0,0.6305506250611983,26.0,22.0,True,47.0,0.05739991814603225,0.10325014518401171,0.0,False,1.8879218098189756,0.6999570461424198,1.6953228894739822,2.304971470799819,2.700936910639703,1.4330514920086168,0.4474576787261292,7.458501410659045,-0.2805361679556439,153.2,0.3077216787213519,0.11487930491221729,1.3450864204717556,0.5013702156679262,1.0942927696781048,0.25079365079365074,-1.0942927696781048
