trial,adx_lookback,adx_threshold,long_only,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,25.0,27.0,False,0.07535706501890463,0.11581070979089769,0.0,0.7708467413548185,0.17436890764997198,0.19333217239975442,1.06059407208312,1.0583701647811352,1.1696259043370687,0.35098995394232535,3.659165330870041,-0.43509342652922234,253.2,0.5119051829731778,0.1659122800432157,0.5436010317078208,0.4651569950474942,-0.4861100519428492,1.02971108365067,0.4861100519428492
1,12.0,26.0,True,0.04239744756325602,0.13748374337220912,0.06432996648684547,0.8794868615690683,0.3520583563733498,1.0422694743369028,1.6371840034135243,1.6904715361102813,1.2837365724749572,0.4475458764870015,4.273679624260195,-0.24686982091700313,161.0,0.2756601569200866,0.10452136509575834,1.1092264918461154,0.4812077372640414,0.8274804601000837,0.28174603174603174,-0.8274804601000837
2,21.0,22.0,True,0.06470643405092012,0.06662949229054717,0.0,0.45834573120080047,0.16142811412486244,0.5751012782049025,0.9294755764007782,0.9953199181360048,1.1656996825582653,0.3598593581297248,2.677188130399894,-0.28917324401795697,236.0,0.26132601866861593,0.12865956318273422,0.766318241959604,0.462231374701513,0.18695316259452455,0.5793650793650794,-0.18695316259452455
3,20.0,21.0,True,0.06817840065100186,0.11332080719932267,0.04848868467973341,0.42198570268706626,0.14630075476807886,0.4436413286038793,0.6386809877137304,0.690062799253311,1.1138038408284405,0.37118768836843047,1.9093217327149539,-0.33486153686313314,227.6,0.2672765575404097,0.1553692751864574,0.639347440576309,0.47404527643936606,0.023592620818296717,0.6157548197580123,-0.023592620818296717
4,17.0,23.0,False,0.05149425279412936,0.06869801811093082,0.0,0.3374007624668697,0.11887673009712878,0.38287497378327434,0.6410617548595254,0.8502403248782933,1.0911620903312884,0.44913198278444977,2.3278187024395556,-0.3309325789334615,269.8,0.24466457423324073,0.1559475814188908,0.6726135656477821,0.4727435188106804,-0.10274365571120447,0.7753572213589865,0.10274365571120447
5,21.0,29.0,False,0.06892591697776915,0.0997749058517208,0.04644096434469937,0.28437097199382017,0.09275799121857167,0.23480014380490907,0.3243718653848469,0.4327503505077878,1.070839541967549,0.3821442760619257,1.2049882350673264,-0.3752111517243951,237.2,0.2958652079188391,0.1776760313781137,0.4275585181422309,0.48165150497774667,-0.3069907694335434,0.7345492875757743,0.3069907694335434
6,29.0,25.0,False,0.07477423665141224,0.06735722477569402,0.07987948839600423,0.18364538304194983,0.03587986645178474,0.10047080806857464,0.2968787004897539,0.45308629909162335,1.0596822358264781,0.3293574272300086,1.2298393388001991,-0.4118907050496823,254.4,0.2933911253139999,0.20443014154027556,0.29525216051139896,0.45814398565502323,-0.5809102019689181,0.876162362480317,0.5809102019689181
7,13.0,23.0,True,0.06992143091841603,0.13470806691352322,0.0,0.6805540234793377,0.260251659334454,0.8741590889695319,1.3132583474818857,1.6837195646423002,1.219437004096091,0.43491271101041135,4.3685791190960686,-0.2505934379539859,238.2,0.251904232013441,0.12318375773888708,1.0260594530051017,0.47800177894663676,0.4379642149098637,0.588095238095238,-0.4379642149098637
8,30.0,26.0,False,0.04216311497776736,0.12942427358362535,0.0,0.0356854606941895,0.015064250607851081,0.182232889829834,0.2340104785761279,0.04065741813369668,1.04615681290142,0.3075445144673701,0.09691473473536144,-0.35640827946683273,288.8,0.289332894945206,0.15085666854948296,0.12274370477018327,0.47393409548966153,-0.7789617430523712,0.9017054478225545,0.7789617430523712
9,24.0,27.0,True,0.06816536227624523,0.09914981582857256,0.05922228674844965,0.24201452412385063,0.08951991663754717,0.3589504180585768,0.6052030911988611,0.45413958595921045,1.0877908892281245,0.3004931782797254,1.1230909938208238,-0.32244696001517553,352.8,0.2925081250610875,0.1455239850096186,0.509434694857849,0.46541078485789783,-0.578316368029645,1.087751062887494,0.578316368029645
10,29.0,30.0,True,0.0507329901484215,0.06371343216338214,0.0,0.3814858533232912,0.15447373978200998,0.5815844652259147,0.7793366811117601,1.029158950307562,1.1957265694919037,0.22740313646474203,2.578639184687436,-0.25999761280411626,193.8,0.2507950611167886,0.11759925498978072,0.625270940857034,0.4747757312159365,0.2133661789522721,0.41190476190476194,-0.2133661789522721
11,30.0,23.0,False,0.05231218395595755,0.06943475553418217,0.06432609539640238,0.5853914540288311,0.2228961394871146,0.6004157124189347,1.0268006363317623,1.1078705789793282,1.1665648681465683,0.3573974994162548,2.8342814045253943,-0.31414017347538375,164.6,0.30944609830167885,0.12770790233294063,0.794692523416643,0.47104518815195434,0.4703804304341294,0.32431209298251357,-0.4703804304341294
12,26.0,22.0,True,0.06436416596353278,0.12570356403258487,0.0,0.574374052098408,0.23936465864118564,0.8138968450946402,1.1795180646725734,1.0579577922779133,1.2174620001719159,0.3224023118365893,2.5219101329210476,-0.27783348590980017,255.2,0.26612206373450087,0.12827128089470202,0.8172941012242586,0.47170639134875153,0.16173854566870305,0.6555555555555556,-0.16173854566870305
13,13.0,28.0,True,0.0752839924279245,0.06799666632592537,0.05868594263341625,1.07617097777114,0.3808553695805196,1.1221499887052133,1.597555487327013,1.671460476460051,1.2754962939319214,0.44010026216559217,4.76762054224544,-0.28046864315049386,183.8,0.2540994910992327,0.11900693265349413,1.1149622133518986,0.47560662037524065,0.7427399911296764,0.3722222222222223,-0.7427399911296764
